"ID","Series","Stock Entry Type","Company","Stock Entry (Outward GIT)","Source Stock Entry (Manufacture)","Purpose","Add to Transit","Work Order","Purchase Order","Subcontracting Order","Delivery Note No","Sales Invoice No","Pick List","Purchase Receipt No","Asset Repair","Posting Date","Posting Time","Edit Posting Date and Time","Inspection Required","Apply Putaway Rule","From BOM","Use Multi-Level BOM","BOM No","Finished Good Quantity ","% Process Loss","Process Loss Qty","Default Source Warehouse","Source Warehouse Address Link","Source Warehouse Address","Default Target Warehouse","Target Warehouse Address Link","Target Warehouse Address","Scan Barcode","Total Outgoing Value (Consumption)","Total Incoming Value (Receipt)","Total Value Difference (Incoming - Outgoing)","Total Additional Costs","Supplier","Supplier Name","Supplier Address","Address","Project","Cost Center","Print Heading","Letter Head","Is Opening","Remarks","Per Transferred","Total Amount","Job Card","Amended From","Credit Note","Is Return","ID (Items)","Conversion Factor (Items)","Item Code (Items)","Qty (Items)","Stock UOM (Items)","UOM (Items)","Actual Qty (at source/target) (Items)","Additional Cost (Items)","Against Stock Entry (Items)","Allow Alternative Item (Items)","Allow Zero Valuation Rate (Items)","Amount (Items)","Barcode (Items)","Basic Amount (Items)","Basic Rate (as per Stock UOM) (Items)","Batch No (Items)","BOM No (Items)","Cost Center (Items)","Description (Items)","Difference Account (Items)","Has Item Scanned (Items)","Image (Items)","Is Finished Item (Items)","Is Scrap Item (Items)","Item Group (Items)","Item Name (Items)","Job Card Item (Items)","Material Request (Items)","Material Request Item (Items)","Original Item (Items)","PO Supplied Item (Items)","Project (Items)","Putaway Rule (Items)","Qty as per Stock UOM (Items)","Quality Inspection (Items)","Reference Purchase Receipt (Items)","Retain Sample (Items)","Sample Quantity (Items)","SCO Supplied Item (Items)","Serial and Batch Bundle (Items)","Serial No (Items)","Set Basic Rate Manually (Items)","Source Warehouse (Items)","Stock Entry Child (Items)","Subcontracted Item (Items)","Target Warehouse (Items)","Transferred Qty (Items)","Use Serial No / Batch Fields (Items)","Valuation Rate (Items)","ID (Additional Costs)","Account Currency (Additional Costs)","Amount (Additional Costs)","Amount (Company Currency) (Additional Costs)","Description (Additional Costs)","Exchange Rate (Additional Costs)","Expense Account (Additional Costs)","Has Corrective Cost (Additional Costs)","Has Operating Cost (Additional Costs)","Operation ID (Additional Costs)","Qty (Additional Costs)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4stfpka7je",1.0,"0261Oc-Alu-2-004",4.0,"Nos","Nos",103.0,0.0,"",0,0,4.0,"",4.0,1.0,"","","Main - TPL","Aluminium Bush 6063 Hyundai 8","Stock Adjustment - TPL",0,"",0,0,"BOF MC","Aluminium Bush 6063 Hyundai 8","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4stem5mrj9",1.0,"R215 OC Bottom Tank",4.0,"Nos","Nos",4.0,0.0,"",0,0,36.44,"",36.44,9.11,"","","Main - TPL","OC Bottom ","Stock Adjustment - TPL",0,"",0,0,"Sub Assembly","R215 OC Bottom Tank","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,9.11,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4stqsihggv",1.0,"R215 OC Bottom Tank Sub Assy",4.0,"Nos","Nos",1.0,0.0,"",0,0,41.52,"",41.52,10.38,"","BOM-OC Bottom Tank Sub Assy-001","Main - TPL","OC Bottom Tank Sub Assy","Stock Adjustment - TPL",0,"",1,0,"To Group","R215 OC Bottom Tank Sub Assy","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,10.38,"","","","","","","","","","",""
"SE-260725-041","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0045","","","","","","","","2026-07-25","14:04:22.421519",0,0,0,1,0,"BOM-R215 OC Bottom Tank-002",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",36.44,36.44,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"4kfej6nu6j",1.0,"Helicoil Insert M10 X 1.5 X 15 Mm",24.0,"Nos","Nos",24.0,0.0,"",0,0,24.0,"",24.0,1.0,"","","Main - TPL","Helicoil Insert M10 X 1.5 X 15 Mm","Stock Adjustment - TPL",0,"",0,0,"BOF MC","Helicoil Insert M10 X 1.5 X 15 Mm","","","","","","","",24.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4kf8loegfh",1.0,"R215 OC Top & Bottom Tank 70x113x7.5x377LG",4.0,"Nos","Nos",6.0,0.0,"",0,0,12.44,"",12.44,3.11,"","","Main - TPL","OC Top &amp; Bottom Tank","Stock Adjustment - TPL",0,"",0,0,"To Group","R215 OC Top & Bottom Tank 70x113x7.5x377LG","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,3.11,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4kfn2fsa28",1.0,"R215 OC Bottom Tank",4.0,"Nos","Nos",0.0,0.0,"",0,0,36.44,"",36.44,9.11,"","BOM-R215 OC Bottom Tank-002","Main - TPL","OC Bottom ","Stock Adjustment - TPL",0,"",1,0,"Sub Assembly","R215 OC Bottom Tank","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,9.11,"","","","","","","","","","",""
"SE-260725-040","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0017","","","","","","","","2026-07-25","14:04:13.374484",0,0,0,1,0,"BOM-CAC Inlet and Outlet Pipe-001",8.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",2.02,2.02,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"4hl7j1h1a1",1.0,"Aluminium Pipe ⌀ 76.0*3MM Thk",2.024,"Kg","Kg",2.024,0.0,"",0,0,2.02,"",2.02,1.0,"","","Main - TPL","Aluminium Pipe ⌀ 76.0*3MM Thk","Stock Adjustment - TPL",0,"",0,0,"To Group","Aluminium Pipe ⌀ 76.0*3MM Thk","","","","","","","",2.024,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4hl75rda0p",1.0,"R215 CAC Inlet and Outlet Pipe",8.0,"Nos","Nos",1.0,0.0,"",0,0,2.02,"",2.02,0.2525,"","BOM-CAC Inlet and Outlet Pipe-001","Main - TPL","CAC Inlet and Outlet Pipe","Stock Adjustment - TPL",0,"",1,0,"To Group","R215 CAC Inlet and Outlet Pipe","","","","","","","",8.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,0.2525,"","","","","","","","","","",""
"SE-260725-039","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0061","","","","","","","","2026-07-25","14:03:11.424061",0,0,0,1,0,"BOM-RAD Inlet and Outlet Pipe-001",8.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",1.44,1.44,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"3u9g7klcvf",1.0,"Aluminium Pipe 48.6*5MM Thk",1.44,"Kg","Kg",1.44,0.0,"",0,0,1.44,"",1.44,1.0,"","","Main - TPL","Aluminium Pipe 48.6*5MM Thk","Stock Adjustment - TPL",0,"",0,0,"To Group","Aluminium Pipe 48.6*5MM Thk","","","","","","","",1.44,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3u9ip5ngc3",1.0,"R215 RAD Inlet and Outlet Pipe",8.0,"Nos","Nos",2.0,0.0,"",0,0,1.44,"",1.44,0.18,"","BOM-RAD Inlet and Outlet Pipe-001","Main - TPL","RAD Inlet and Outlet Pipe","Stock Adjustment - TPL",0,"",1,0,"To Group","R215 RAD Inlet and Outlet Pipe","","","","","","","",8.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,0.18,"","","","","","","","","","",""
