ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
,,,,,,,,,,,R215 Top Cover Assembly,1,1,Nos,1,1,Nos,1,BOM-R215 Top Cover Assembly-001,0,,,,,,
,,,,,,,,,,,R215 Top Flyscreen Assembly,1,4.62,Nos,1,1,Nos,1,BOM-R215 Top Flyscreen Assembly-001,0,,,,,,
,,,,,,,,,,,Wing Bolt,8,1,Nos,1,8,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Pressure Cap,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Foam,1,1,Set,1,1,Set,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Protective Cap for CAC,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Protective cap for OC,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Protective Cap for Radiator,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Sticker (Warning),1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Sticker (Part No),1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Sticker (Serial No),1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Nut Cover for Condenser Mounting 43*30.3*1,2,0.01,Nos,1,2,Nos,1,BOM-Nut Cover for Condenser Mounting 43*30.3*1-001,0,,,,,,
BOM-R215 CAC-001,R215 CAC,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 CAC Core,1,14.67,Nos,1,1,Nos,1,BOM-R215 CAC Core-001,0,,,Tank To Core,1,,Mig Welding
,,,,,,,,,,,R215 CAC Top Tank Sub Assy,1,6.36,Nos,1,1,Nos,1,BOM-R215 CAC Top Tank Sub Assy-001,0,,,Angle Assembly,1,,Mig Welding
,,,,,,,,,,,R215 CAC Bottom Tank Sub Assy,1,6.36,Nos,1,1,Nos,1,BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001,0,,,Leak Testing,1,,Leak Test
,,,,,,,,,,,Stay Block 50X25X150,1,1.51,Nos,1,1,Nos,1,BOM-Stay Block 50X25X150-001,0,,,,,,
,,,,,,,,,,,Condenser Mounting Block 31X19X25,2,1.39,Nos,1,2,Nos,1,BOM-Condenser Mounting Block 31X19X25-001,0,,,,,,
BOM-Spacer Bar 9.5×15×110-001,Spacer Bar 9.5×15×110,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 ),0.043,1,Kg,1,0.043,Kg,1,,0,Raw Materials Stores – TPL,,Bar Cutting,1,,Aluminium Bar Cutting
BOM-R215 Ms Plate-2 (144X22X1.5)-001,R215 Ms Plate-2 (144X22X1.5),Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,MS - 1.5 MM Thk,0.037,1,Kg,1,0.037,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
,,,,,,,,,,,HEX Nut M8*1.25P,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Punching,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-R215 Ms Plate-1(102X22X1.5)-001,R215 Ms Plate-1(102X22X1.5),Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,MS - 1.5MM Thk,0.026,1,Kg,1,0.026,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
,,,,,,,,,,,HEX Nut M8*1.25P,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Punching,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-Turbulator 0.2*300*96.0-001,Turbulator 0.2*300*96.0,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2×300,0.029,1,Kg,1,0.029,Kg,1,,0,Raw Materials Stores – TPL,,Turbu Forming,1,,Turbulator Forming and Cutting
