ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001,R215 Top and Bottom Flyscreen Mounting Plate 35X30X2,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS - 2MM Thk,0.016,1,Kg,1,0.016,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
,,,,,,,,,,,,,,,,,,,,,,,Punching,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001,Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008,Teksons Pvt Ltd,9,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Plate 70*8*800MM,1.223,1,Kg,1,1.223,Kg,1,,0,Raw Materials Stores – TPL,,Blanking,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001,Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001,Teksons Pvt Ltd,6,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Tank End Plate 70*5*595,1,0.89,Nos,1,1,Nos,1,BOM-Tank End Plate 110×5*595MM-001,0,Raw Materials Stores – TPL,,Blanking,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-Tank End Plate 110×5*595MM-001,Tank End Plate 110×5*595MM,Teksons Pvt Ltd,1,WIP-RP - TPL,INR,1,1,Work Order,1,,Aluminium Plate 110*5*2250MM,0.894,1,Kg,1,0.894,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
BOM-Stay Block 50X25X150-001,Stay Block 50X25X150,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150),0.512,1,Kg,1,0.512,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
,,,,,,,,,,,Helicoil Insert M 12 X 1.75 X 18Mm,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Helicoil Insert,1,,Helicoil & Tapping
BOM-R215 Spacer Bar for CAC 8*10*941-001,R215 Spacer Bar for CAC 8*10*941,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Spacer Bar ALU-STD-0028 (8*10),0.206,1,Kg,1,0.206,Kg,1,,0,Raw Materials Stores – TPL,,Bar Cutting,1,,Aluminium Bar Cutting
BOM-R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3-001,R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Pipe OD⌀10*ID⌀6*17L,1,0.0023,Nos,1,0.0023,Kg,0.0023,,0,BOF Stores – TPL,,Cutting,1,,Weld_Manual Cutting
BOM-R215 RAD-001,R215 RAD,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 RAD Core,1,24.29,Nos,1,1,Nos,1,BOM-R215 RAD Core-001,0,,,Tank To Core,1,,Mig Welding
,,,,,,,,,,,Drain Plug,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Angle Assembly,1,,Mig Welding
,,,,,,,,,,,R215 RAD Bottom Tank Sub Assy,1,6.97,Nos,1,1,Nos,1,BOM-R215 RAD Bottom Tank Sub Assy-001,0,,,Leak Testing,1,,Leak Test
,,,,,,,,,,,R215 RAD Top Tank Sub Assy,1,8.97,Nos,1,1,Nos,1,BOM-R215 RAD Top Tank Sub Assy-001,0,,,,,,
,,,,,,,,,,,RAD Drain Bush,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3,1,0,Nos,1,1,Nos,1,BOM-R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3-001,0,,,,,,
BOM-R215 RAD Top Tank-001,R215 RAD Top Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Helicoil Insert M10 X 1.5 X 15 Mm,4,1,Nos,1,4,Nos,1,,0,BOF Stores – TPL,,Helicoil Insert,1,,Helicoil & Tapping
,,,,,,,,,,,R215 RAD Top and Bottom Tank,1,2.45,Nos,1,1,Nos,1,BOM-R215 RAD Top and Bottom Tank-001,0,,,,,,
BOM-R215 RAD Inlet and Outlet Pipe-001,R215 RAD Inlet and Outlet Pipe,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Pipe 48.6*5MM Thk,0.18,1,Kg,1,0.18,Kg,1,,0,BOF Stores – TPL,,Cutting,1,,Weld_Manual Cutting
