"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"","","","","","","Stay Block 50X25X150",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"BOM-R215 OC and RAD Core End Plate2.5X110X1021-001","R215 OC and RAD Core End Plate2.5X110X1021","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Sheet 2.5MM Thk Without Cladded",0.767,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 RAD Inlet and Outlet Pipe-001","R215 RAD Inlet and Outlet Pipe","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Pipe 48.6*5MM Thk",0.18,"Kg",1.0,"Raw Material Stores - TPL","Cutting","Kg","Cutting",1.0,"","Weld_Manual Cutting"
"BOM-R215 RAD Top Tank-001","R215 RAD Top Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Helicoil Insert M10 X 1.5 X 15 Mm",4.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"","","","","","","R215 RAD Top and Bottom Tank",1.0,"Nos",1.0,"WIP-CNC - TPL","Helicoil Insert","Nos","","","",""
"BOM-R215 RAD-001","R215 RAD","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 RAD Core",1.0,"Nos",1.0,"WIP-Ralu In - TPL","Tank To Core","Nos","Tank To Core",1.0,"","Mig Welding"
"","","","","","","Drain Plug",1.0,"Nos",1.0,"BOF Stores - TPL","Tank To Core","Nos","Angle Assembly",1.0,"","Mig Welding"
"","","","","","","R215 RAD Bottom Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","Leak Testing",1.0,"","Leak Test"
"","","","","","","R215 RAD Top Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"","","","","","","RAD Drain Bush",1.0,"Nos",1.0,"BOF Stores - TPL","Tank To Core","Nos","","","",""
"","","","","","","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"BOM-R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3-001","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Pipe OD⌀10*ID⌀6*17L",1.0,"Nos",0.0023,"Raw Material Stores - TPL","Cutting","Kg","Cutting",1.0,"","Weld_Manual Cutting"
"BOM-R215 Spacer Bar for CAC 8*10*941-001","R215 Spacer Bar for CAC 8*10*941","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Spacer Bar ALU-STD-0028 (8*10)",0.206,"Kg",1.0,"Raw Material Stores - TPL","Bar Cutting","Kg","Bar Cutting",1.0,"","Aluminium Bar Cutting"
"BOM-Stay Block 50X25X150-001","Stay Block 50X25X150","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)",0.512,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
"","","","","","","Helicoil Insert M 12 X 1.75 X 18Mm",1.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"BOM-Tank End Plate 110×5*595MM-001","Tank End Plate 110×5*595MM","Teksons Pvt Ltd",1.0,"WIP-RP - TPL",1,"Aluminium Plate 110*5*2250MM",0.894,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
