"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"","","","","","","Condenser Mounting Block 31X19X25",2.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"BOM-R215 Combi Cooler-001","R215 Combi Cooler","Teksons Pvt Ltd",1.0,"Finish Goods Stores - TPL",1,"R215 CAC",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Assembly","Nos","Final Assembly",1.0,"","Final Assembly"
"","","","","","","R215 Bottom Cover Assembly",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","PDI",1.0,"","PDI"
"","","","","","","R215 Bottom Flyscreen Assembly",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"","","","","","","Bottom Foam",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","C Clamp Spacer",12.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Cage For M8 Sq Nut 182X50X0.5",8.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","","","",""
"","","","","","","EPDM Drain Hose",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Fan Cowl",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Finger Guard",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Foam for CAC",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Foam for gap B/W Cooler and F/C",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Foam for OIL Cooler",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","HEX Head Bolt M8*1.25P*25LG",18.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","HEX Head Bolt M10*1.5P*30LG",28.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Hose Clip",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 LH – RH Condenser MTG BKT",1.0,"Pair",1.0,"WIP-RA - TPL","Assembly","Set","","","",""
"","","","","","","R215 Ms Plate-2 (144X22X1.5)",1.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Ms Plate-1(102X22X1.5)",1.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","","","",""
"","","","","","","M8 Nuts",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 OC",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Assembly","Nos","","","",""
"","","","","","","M10 Plain Washer",28.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","M8 Plain Washer",26.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 RAD",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Assembly","Nos","","","",""
"","","","","","","Rivets - 4.8 X 12.5",4.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","M10 Spring Washer",28.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","M8 Spring Washer",26.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Top Cover Assembly",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Top Flyscreen Assembly",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"","","","","","","Wing Bolt",8.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Pressure Cap",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Foam",1.0,"Set",1.0,"BOF Stores - TPL","Assembly","Set","","","",""
"","","","","","","Protective Cap for CAC",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Protective cap for OC",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Protective Cap for Radiator",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Sticker (Warning)",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Sticker (Part No)",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Sticker (Serial No)",1.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","Nut Cover for Condenser Mounting 43*30.3*1",2.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","","","",""
"BOM-R215 CAC Bottom Tank-001","R215 CAC Bottom Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 CAC Top and Bottom Tank 110x113x7.5x186LG",1.0,"Nos",1.0,"WIP-CNC - TPL","Drilling & Boring","Nos","Drilling & Boring",1.0,"","Drilling, Boring and Milling"
"","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"BOM-R215 CAC Bottom Tank Sub Assy-001","R215 CAC Bottom Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 CAC Bottom Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","R215 CAC Inlet and Outlet Pipe",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"","","","","","","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","","","",""
"BOM-Cage For M8 Sq Nut 182X50X0.5-001","Cage For M8 Sq Nut 182X50X0.5","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"GI - 0.5MM Thk",0.036,"Kg",1.0,"Raw Material Stores - TPL","Folding","Kg","Folding",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"","","","","","","SQ Nut M8*1.25P",1.0,"Nos",1.0,"BOF Stores - TPL","Folding","Nos","","","",""
"BOM-Nut Cover for Condenser Mounting 43*30.3*1-001","Nut Cover for Condenser Mounting 43*30.3*1","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"MS - 1 MM Thk",0.01,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Accurate Cutting"
"","","","","","","","","","","","","","Punching",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-Turbulator 0.3*250*44.5-001","Turbulator 0.3*250*44.5","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.3×250MM",0.015,"Kg",1.0,"Raw Material Stores - TPL","Turbu Forming","Kg","Turbu Forming",1.0,"","Turbulator Forming and Cutting"
"BOM-R215 OC Core End Plate 5X140X1021-001","R215 OC Core End Plate 5X140X1021","Teksons Pvt Ltd",1.0,"WIP-RP - TPL",1,"R215 OC Core End Plate 5X165X1021",1.0,"Nos",1.0,"WIP-W - TPL","Folding","Nos","Folding",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"","","","","","","","","","","","","","Sr. No. Punching",1.0,"","Sr. No. Punching"
"BOM-R215 RAD Core End Plate2.5X110X1021-001","R215 RAD Core End Plate2.5X110X1021","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"R215 OC and RAD Core End Plate2.5X110X1021",1.0,"Nos",1.0,"WIP-W - TPL","Sr. No. Punching","Nos","Sr. No. Punching",1.0,"","Sr. No. Punching"
"BOM-R215 RAD Bottom Tank-001","R215 RAD Bottom Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 RAD Top and Bottom Tank",1.0,"Nos",1.0,"WIP-CNC - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","","","",""
"BOM-R215 RAD Bottom Tank Sub Assy-001","R215 RAD Bottom Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 RAD Bottom Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","R215 RAD Inlet and Outlet Pipe",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"","","","","","","Tank End Plate 97*62*5",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","","","",""
"BOM-R215 RAD Top and Bottom Tank-001","R215 RAD Top and Bottom Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG",1.0,"Nos",2.45,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
"BOM-Spacer Bar 10x15x110-001","Spacer Bar 10x15x110","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Spacer Bar 10 X 15 X 2115, Imported",0.045,"Kg",1.0,"Raw Material Stores - TPL","Bar Cutting","Kg","Bar Cutting",1.0,"","Aluminium Bar Cutting"
"BOM-R215 OC Bottom Tank-001","R215 OC Bottom Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 OC Top & Bottom Tank 70x113x7.5x377LG",1.0,"Nos",1.0,"WIP-CNC - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm",6.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Helicoil Insert","Nos","","","",""
"BOM-R215 OC Top Tank-001","R215 OC Top Tank","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Helicoil Insert M10 X 1.5 X 15 Mm",6.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"","","","","","","R215 OC Top & Bottom Tank 70x113x7.5x377LG",1.0,"Nos",1.0,"WIP-CNC - TPL","Helicoil Insert","Nos","","","",""
"BOM-OC Inlet & Outlet Block 101X66X30-001","OC Inlet & Outlet Block 101X66X30","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )",0.487,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
"","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,"Nos",1.0,"BOF Stores - TPL","Helicoil Insert","Nos","Helicoil Insert",1.0,"","Helicoil & Tapping"
"BOM-R215 RAD Top Tank Sub Assy-001","R215 RAD Top Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Tank End Plate 97*62*5",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","Filler Neck 14PSI",1.0,"Nos",1.0,"BOF Stores - TPL","Tank Assembly","Nos","","","",""
"","","","","","","Filler Neck Over Flow Pipe",1.0,"Nos",1.0,"BOF Stores - TPL","Tank Assembly","Nos","","","",""
"","","","","","","R215 RAD Inlet and Outlet Pipe",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"","","","","","","R215 RAD Top Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
