bom_name,item_code,item_name,quantity,company,creation,total_items,total_operations,bom_items_json,operations_json
BOM-Cage For M8 Sq Nut 182X50X0.5-001,Cage For M8 Sq Nut 182X50X0.5,Cage For M8 Sq Nut 182X50X0.5,1.0,Teksons Pvt Ltd,2026-07-10 18:19:38.929590,2,1,"[{""item_code"": ""GI \u2013 0.5MM Thk"", ""item_name"": ""GI \u2013 0.5MM Thk"", ""qty"": 0.036, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""SQ Nut M8*1.25P"", ""item_name"": ""SQ Nut M8*1.25P"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Folding"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-CAC Bottom Tank Sub Assy-001,R215 CAC Bottom Tank Sub Assy,CAC Bottom Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-10 18:16:37.215077,3,1,"[{""item_code"": ""R215 CAC Bottom Tank"", ""item_name"": ""R215 CAC Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 CAC Inlet and Outlet Pipe"", ""item_name"": ""CAC Inlet and Outlet Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001"", ""item_name"": ""Tank End Plate for Extrusion No 0239C-ALU-2-0001"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 CAC Bottom Tank-001,R215 CAC Bottom Tank,R215 CAC Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-10 18:12:04.208520,2,2,"[{""item_code"": ""R215 CAC Top and Bottom Tank 110x113x7.5x186LG"", ""item_name"": ""R215 CAC Top and Bottom Tank 110x113x7.5x186LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Drilling & Boring"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215-001,R215 Combi Cooler,Hyundai R215 Combi Cooler,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.898914,38,2,"[{""item_code"": ""R215 CAC"", ""item_name"": ""Charge Air Cooler"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Bottom Cover Assembly"", ""item_name"": ""R215 Bottom Cover Assembly"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Bottom Flyscreen Assembly"", ""item_name"": ""R215 Bottom Flyscreen Assembly"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Bottom Foam"", ""item_name"": ""Bottom Foam"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""C Clamp Spacer"", ""item_name"": ""C Clamp Spacer"", ""qty"": 12.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Cage For M8 Sq Nut 182X50X0.5"", ""item_name"": ""Cage For M8 Sq Nut 182X50X0.5"", ""qty"": 8.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""EPDM Drain Hose"", ""item_name"": ""EPDM Drain Hose"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Fan Cowl"", ""item_name"": ""Fan Cowl"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Finger Guard"", ""item_name"": ""R215 Finger Guard"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Foam for CAC"", ""item_name"": ""Foam for CAC"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Foam for gap B/W Cooler and F/C"", ""item_name"": ""Foam for gap B/W Cooler and F/C"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Foam for OIL Cooler"", ""item_name"": ""Foam for OIL Cooler"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""HEX Head Bolt M8*1.25P*25LG"", ""item_name"": ""HEX Head Bolt M8*1.25P*25LG"", ""qty"": 18.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""HEX Head Bolt M10*1.5P*30LG"", ""item_name"": ""HEX Head Bolt M10*1.5P*30LG"", ""qty"": 28.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Hose Clip"", ""item_name"": ""Hose Clip"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 LH \u2013 RH Condenser MTG BKT"", ""item_name"": ""LH \u2013 RH Condenser MTG BKT"", ""qty"": 1.0, ""uom"": ""Pair"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Ms Plate-2 (144X22X1.5)"", ""item_name"": ""MS Plate-2"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Ms Plate-1(102X22X1.5)"", ""item_name"": ""MS Plate-1"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""M8 Nuts"", ""item_name"": ""Nuts"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC"", ""item_name"": ""Oil Cooler"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""M10 Plain Washer"", ""item_name"": ""Plain washer (for M10)"", ""qty"": 28.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""M8 Plain Washer"", ""item_name"": ""Plain washer (for M8)"", ""qty"": 26.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD"", ""item_name"": ""Radiator"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Rivets - 4.8 X 12.5"", ""item_name"": ""Rivets - 4.8 X 12.5"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""M10 Spring Washer"", ""item_name"": ""Spring washer (for M10)"", ""qty"": 28.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""M8 Spring Washer"", ""item_name"": ""Spring Washer (for M8)"", ""qty"": 26.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Top Cover Assembly"", ""item_name"": ""R215 Top Cover Assembly"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 Top Flyscreen Assembly"", ""item_name"": ""R215 Top Flyscreen Assembly"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Wing Bolt"", ""item_name"": ""Wing Bolt"", ""qty"": 8.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Pressure Cap"", ""item_name"": ""Pressure Cap"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Foam"", ""item_name"": ""Foam"", ""qty"": 1.0, ""uom"": ""Set"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Protective Cap for CAC"", ""item_name"": ""Protective Cap for CAC"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Protective cap for OC"", ""item_name"": ""Protective cap for OC"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Protective Cap for Radiator"", ""item_name"": ""Protective Cap for Radiator"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Sticker (Warning)"", ""item_name"": ""Sticker (Warning)"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Sticker (Part No)"", ""item_name"": ""Sticker (Part No)"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Sticker (Serial No)"", ""item_name"": ""Sticker (Serial No)"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Nut Cover for Condenser Mounting 43*30.3*1"", ""item_name"": ""Nut Cover for Condenser Mounting 43*30.3*1"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Final Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""PDI"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 CAC-001,R215 CAC,Charge Air Cooler,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.831917,5,3,"[{""item_code"": ""R215 CAC Core"", ""item_name"": ""R215 CAC Core"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 CAC Top Tank Sub Assy"", ""item_name"": ""CAC Top Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 CAC Bottom Tank Sub Assy"", ""item_name"": ""CAC Bottom Tank Sub Assy"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Stay Block 50X25X150"", ""item_name"": ""Stay Block"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Condenser Mounting Block 31X19X25"", ""item_name"": ""Condenser Mtg. Block 31X19X25"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank To Core"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Angle Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 3, ""operation"": ""Leak Testing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Spacer Bar 9.5×15×110-001,Spacer Bar 9.5×15×110,Spacer Bar 9.5×15×110,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.802820,1,1,"[{""item_code"": ""Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )"", ""item_name"": ""Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )"", ""qty"": 0.043, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Bar Cutting"", ""workstation"": ""Bar_Circular Saw Machine"", ""plant_floor"": ""Ralu In"", ""wip_warehouse"": ""WIP-Ralu In - TPL"", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-MS Plate-2-001,R215 Ms Plate-2 (144X22X1.5),R215 Ms Plate-2 (144X22X1.5),1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.766490,2,2,"[{""item_code"": ""MS \u2013 1.5 MM Thk"", ""item_name"": ""MS \u2013 1.5 MM Thk"", ""qty"": 0.037, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""HEX Nut M8*1.25P"", ""item_name"": ""HEX Nut M8*1.25P"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Punching"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-MS Plate-1-001,R215 Ms Plate-1(102X22X1.5),R215 Ms Plate-1(102X22X1.5),1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.729851,2,2,"[{""item_code"": ""MS \u2013 1.5MM Thk"", ""item_name"": ""MS \u2013 1.5MM Thk"", ""qty"": 0.026, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""HEX Nut M8*1.25P"", ""item_name"": ""HEX Nut M8*1.25P"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Shearing"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Punching"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Turbulator 0.2*300*96.0-001,Turbulator 0.2*300*96.0,Turbulator 0.2*300*96.0,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.701745,1,1,"[{""item_code"": ""Aluminium Coil 0.2\u00d7300"", ""item_name"": ""Aluminium Coil 0.2\u00d7300"", ""qty"": 0.029, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Turbu Forming"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Turbulator 0.2*250*96.0-001,Turbulator 0.2*250*96.0,Turbulator 0.2*250*96.0,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.672707,1,1,"[{""item_code"": ""Aluminium Coil 0.2\u00d7250 Thk"", ""item_name"": ""Aluminium Coil 0.2\u00d7250 Thk"", ""qty"": 0.024, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Turbu Forming"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Turbulator 0.3*300*44.5-001,Turbulator 0.3*300*44.5,Turbulator 0.3*300*44.5,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.645250,1,1,"[{""item_code"": ""Aluminium Coil 0.3\u00d7300MM"", ""item_name"": ""Aluminium Coil 0.3\u00d7300MM"", ""qty"": 0.018, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Turbu Forming"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Turbulator 0.3*250*44.5-001,Turbulator 0.3*250*44.5,Turbulator 0.3*250*44.5,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.617134,1,1,"[{""item_code"": ""Aluminium Coil 0.3\u00d7250MM"", ""item_name"": ""Aluminium Coil 0.3\u00d7250MM"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Turbu Forming"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tube sheet for RAD 0.6*110*1021-001,R215 RAD Tube Sheet 0.6*110*1021,Tube sheet for RAD 0.6*110*1021,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.559183,1,1,"[{""item_code"": ""Aluminium Coil 0.6*110MM"", ""item_name"": ""Aluminium Coil 0.6*110MM"", ""qty"": 0.184, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tube Sheet Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tube Sheet for OC 0.7*110*1021-001,R215 OC Tube Sheet 0.7*110*1021,Tube Sheet for OC 0.7*110*1021,1.0,Teksons Pvt Ltd,2026-07-10 18:12:03.531561,1,1,"[{""item_code"": ""Aluminium Coil 0.7*110"", ""item_name"": ""Aluminium Coil 0.7*110"", ""qty"": 0.215, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tube Sheet Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
