"ID","Status","Item To Manufacture","BOM No","Qty To Manufacture","Target Warehouse","Planned Start Date","Stock UOM","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Stock UOM (Required Items)","Operation (Operations)","Sequence ID (Operations)","Planned Start Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"","","","","","","","","R215 OC Tube Sheet 0.7*110*1021","Core Assembly",54.0,"Nos","","","","",""
"","","","","","","","","Turbulator 0.3*250*44.5","Core Assembly",26.0,"Nos","","","","",""
"","","","","","","","","Turbulator 0.3*300*44.5","Core Assembly",156.0,"Nos","","","","",""
"WO/260808/0461","In Process","R215 OC","BOM-R215 OC-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Drain Plug","Tank To Core",1.0,"Nos","Tank To Core",1,"","","Mig Welding"
"","","","","","","","","R215 OC Core","Tank To Core",1.0,"Nos","Angle Assembly",2,"","","Mig Welding"
"","","","","","","","","Rubber Seal","Tank To Core",1.0,"Nos","Leak Testing",3,"","","Leak Test"
"","","","","","","","","R215 OC Bottom Tank Sub Assy","Tank To Core",1.0,"Nos","","","","",""
"","","","","","","","","R215 OC Top Tank Sub Assy","Tank To Core",1.0,"Nos","","","","",""
"","","","","","","","","OC Inlet & Outlet Block 101X66X30","Tank To Core",2.0,"Nos","","","","",""
"","","","","","","","","Condenser Mounting Block 31X19X25","Tank To Core",2.0,"Nos","","","","",""
"","","","","","","","","Stay Block 50X25X150","Tank To Core",1.0,"Nos","","","","",""
"WO/260808/0460","In Process","R215 Ms Plate-1(102X22X1.5)","BOM-R215 Ms Plate-1(102X22X1.5)-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","MS - 1.5MM Thk","Shearing",0.026,"Kg","Shearing",1,"","","Shearing Machine"
"","","","","","","","","HEX Nut M8*1.25P","Shearing",1.0,"Nos","Punching",2,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0459","In Process","R215 Ms Plate-2 (144X22X1.5)","BOM-R215 Ms Plate-2 (144X22X1.5)-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","MS - 1.5 MM Thk","Shearing",0.037,"Kg","Shearing",1,"","","Shearing Machine"
"","","","","","","","","HEX Nut M8*1.25P","Shearing",1.0,"Nos","Punching",2,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0458","In Process","R215 LH – RH Condenser MTG BKT","BOM-R215 LH – RH Condenser MTG BKT-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Set","R215 LH – RH Condenser MTG BKT","Painting",1.0,"Set","Painting",1,"","","RA Painting"
