"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Name","Image","Sales Order","Material Transferred for Manufacturing","Manufactured Qty","Disassembled Qty","Process Loss Qty","Project","Allow Alternative Item","Use Multi-Level BOM","Skip Material Transfer to WIP Warehouse","Backflush Raw Materials From Work-in-Progress Warehouse","Update Consumed Material Cost In Project","Source Warehouse","Work-in-Progress Warehouse","Scrap Warehouse","Has Serial No","Has Batch No","Batch Size","Transfer Material Against","Planned End Date","Expected Delivery Date","Actual Start Date","Actual End Date","Lead Time","Planned Operating Cost","Actual Operating Cost","Additional Operating Cost","Corrective Operation Cost","Total Operating Cost","Item Description","Stock UOM","Material Request","Material Request Item","Sales Order Item","Production Plan","Production Plan Item","Production Plan Sub-assembly Item","Product Bundle Item","Amended From","ID (Required Items)","Allow Alternative Item (Required Items)","Amount (Required Items)","Available Qty at Source Warehouse (Required Items)","Available Qty at WIP Warehouse (Required Items)","Consumed Qty (Required Items)","Description (Required Items)","Include Item In Manufacturing (Required Items)","Item Code (Required Items)","Item Name (Required Items)","Operation (Required Items)","Rate (Required Items)","Required Qty (Required Items)","Returned Qty  (Required Items)","Source Warehouse (Required Items)","Stock UOM (Required Items)","Transferred Qty (Required Items)","ID (Operations)","Actual End Time (Operations)","Actual Operating Cost (Operations)","Actual Operation Time (Operations)","Actual Start Time (Operations)","Batch Size (Operations)","BOM (Operations)","Completed Qty (Operations)","Hour Rate (Operations)","Operation (Operations)","Operation Description (Operations)","Planned End Time (Operations)","Planned Operating Cost (Operations)","Planned Start Time (Operations)","Process Loss Qty (Operations)","Sequence ID (Operations)","Status (Operations)","Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"WO/260714/0065","WO/.YY.MM.DD./.####.","Completed","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","BOM-Radiator Drain Pipe-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-25 14:02:40","2026-07-25 14:02:41",0.01668,0.0,0.0,0.0,0.0,0.0,"R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","Nos","","","","PP/2607/29/0001","","suad107onl","","","t4sbl8nh7b",0,2.116e-05,0.038,0.0,0.009,"Aluminium Pipe OD⌀10*ID⌀6*17L",1,"Aluminium Pipe OD⌀10*ID⌀6*17L","Aluminium Pipe OD⌀10*ID⌀6*17L","Cutting",0.0023,0.0092,0.0,"BOF Stores - TPL","Kg",0.009,"t4spuguh4k","2026-07-25 14:02:41",0.0,0.01668,"2026-07-25 14:02:40",1.0,"BOM-Radiator Drain Pipe-001",4.0,0.0,"Cutting","Cutting","",0.0,"",0.0,1,"Completed",4.0,"Manual Cutting","Weld_Manual Cutting"
"WO/260714/0064","WO/.YY.MM.DD./.####.","Completed","R215 RAD Top Tank","BOM-RAD Top Tank-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 RAD Top Tank","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-25 13:58:09","2026-07-25 13:58:11",0.03336,0.0,0.0,0.0,0.0,0.0,"<div><p>R215 RAD Top Tank</p></div>","Nos","","","","PP/2607/29/0001","","sua955elf4","","","t4sk1nk4bl",1,16.0,68.0,0.0,16.0,"Helicoil Insert",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",1.0,16.0,0.0,"Raw Material Stores - TPL","Nos",16.0,"t4sv9hj2aa","2026-07-25 13:58:11",0.0,0.03336,"2026-07-25 13:58:09",1.0,"BOM-RAD Top Tank-001",4.0,0.0,"Helicoil Insert","Helicoil Inserting","",0.0,"",0.0,1,"Completed",4.0,"01_Helicoil and Tapping","Helicoil & Tapping"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4s5374l9r",0,9.8,0.0,2.0,4.0,"RAD Top &amp; Bottom Tank",1,"R215 RAD Top and Bottom Tank","R215 RAD Top and Bottom Tank","Helicoil Insert",2.45,4.0,0.0,"BOF Stores - TPL","Nos",0.0,"","","","","","","","","","","","","","","","","","","",""
"WO/260714/0063","WO/.YY.MM.DD./.####.","In Process","R215 RAD Top Tank Sub Assy","BOM-R215 RAD Top Tank Sub Assy-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 RAD Top Tank Sub Assy","","",4.0,0.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-25 14:02:29","2026-07-25 14:02:31",0.03336,0.0,0.0,0.0,0.0,0.0,"RAD Top Tank Sub Assy","Nos","","","","PP/2607/29/0001","","suaoeivsss","","","t4rauuutfo",0,1.333333336,0.0,4.0,0.0,"Tank End Plate 97*62*5",1,"Tank End Plate 97*62*5","Tank End Plate 97*62*5","Tank Assembly",0.166666667,8.0,0.0,"BOF Stores - TPL","Nos",0.0,"t4r0rcfk51","2026-07-25 14:02:31",0.0,0.03336,"2026-07-25 14:02:29",1.0,"BOM-R215 RAD Top Tank Sub Assy-001",4.0,0.0,"Tank Assembly","Tank Assembly","",0.0,"",0.0,1,"Completed",4.0,"ALU-M-08_Mig Welding Machine","Mig Welding"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4rnqvajmq",0,4.0,19.0,0.0,0.0,"Filler Neck 14PSI",1,"Filler Neck 14PSI","Filler Neck 14PSI","Tank Assembly",1.0,4.0,0.0,"BOF Stores - TPL","Nos",4.0,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4rhpbn259",0,4.0,19.0,0.0,0.0,"Filler Neck Over Flow Pipe",1,"Filler Neck Over Flow Pipe","Filler Neck Over Flow Pipe","Tank Assembly",1.0,4.0,0.0,"BOF Stores - TPL","Nos",4.0,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4r90ilebo",0,0.72,0.0,2.0,0.0,"RAD Inlet and Outlet Pipe",1,"R215 RAD Inlet and Outlet Pipe","R215 RAD Inlet and Outlet Pipe","Tank Assembly",0.18,4.0,0.0,"BOF Stores - TPL","Nos",0.0,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4rd04pcpu",0,25.8,0.0,1.0,0.0,"RAD Top Tank",1,"R215 RAD Top Tank","R215 RAD Top Tank","Tank Assembly",6.45,4.0,0.0,"BOF Stores - TPL","Nos",0.0,"","","","","","","","","","","","","","","","","","","",""
"WO/260714/0062","WO/.YY.MM.DD./.####.","Not Started","Tank End Plate 97*62*5","BOM-Tank End Plate 97*62*5-001","Teksons Pvt Ltd",18.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","Tank End Plate 97*62*5","","",0.0,0.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:03:00","","","",0.0,0.0,0.0,0.0,0.0,0.0,"Tank End Plate 97*62*5","Nos","","","","PP/2607/29/0001","","suaa0ek464","","","0rgm86bj43",0,3.0,0.0,0.0,0.0,"Tank end plate for Extrusion no 0253OC-ALU-2-0005",1,"Tank End Plate 70*5*595","Tank End Plate 70*5*595","Blanking",1.0,3.0,0.0,"BOF Stores - TPL","Nos",0.0,"0rgmgkfkun","",0.0,0.0,"",1.0,"BOM-Tank End Plate 97*62*5-001",0.0,0.0,"Blanking","Blanking","",0.0,"",0.0,1,"Pending",3.0,"","Corner Cutting, Punching, Folding and Blanking"
"WO/260714/0061","WO/.YY.MM.DD./.####.","Completed","R215 RAD Inlet and Outlet Pipe","BOM-RAD Inlet and Outlet Pipe-001","Teksons Pvt Ltd",8.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 RAD Inlet and Outlet Pipe","","",8.0,8.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:08:00","","2026-07-25 14:03:06","2026-07-25 14:03:07",0.01668,0.0,0.0,0.0,0.0,0.0,"RAD Inlet and Outlet Pipe","Nos","","","","PP/2607/29/0001","","suaku8941r","","","t4rnk00m69",0,1.44,6.88,0.0,1.44,"Aluminium Pipe 48.6*5MM Thk",1,"Aluminium Pipe 48.6*5MM Thk","Aluminium Pipe 48.6*5MM Thk","Cutting",1.0,1.44,0.0,"BOF Stores - TPL","Kg",1.44,"t4rndbk0pg","2026-07-25 14:03:07",0.0,0.01668,"2026-07-25 14:03:06",1.0,"BOM-RAD Inlet and Outlet Pipe-001",8.0,0.0,"Cutting","Cutting","",0.0,"",0.0,1,"Completed",8.0,"Manual Cutting","Weld_Manual Cutting"
