"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0253","WO/.YY.MM.DD./.####.","Draft","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","Size Cutting",3.62,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"WO/260808/0252","WO/.YY.MM.DD./.####.","Draft","R215 CAC Top Tank","BOM-R215 CAC Top Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","Drilling & Boring",1.0,"WIP-CNC - TPL","","Drilling, Boring and Milling",1,"Drilling & Boring"
"","","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"BOF Stores - TPL","","Helicoil & Tapping",2,"Helicoil Insert"
"WO/260808/0251","WO/.YY.MM.DD./.####.","Draft","R215 CAC Inlet and Outlet Pipe","BOM-R215 CAC Inlet and Outlet Pipe-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Pipe ⌀ 76.0*3MM Thk","Pipe Cutting",0.506,"Raw Material Stores - TPL","","Weld_Manual Cutting",1,"Pipe Cutting"
"WO/260808/0250","WO/.YY.MM.DD./.####.","Draft","Tank End Plate 110×5*595MM","BOM-Tank End Plate 110×5*595MM-001","Teksons Pvt Ltd",0.666,"WIP-RP - TPL","2026-08-08 00:00:00","Aluminium Plate 110*5*2250MM","Size Cutting",0.595404,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"WO/260808/0249","WO/.YY.MM.DD./.####.","Draft","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001","Teksons Pvt Ltd",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Tank End Plate 110×5*595MM","Blanking",0.666666667,"WIP-CNC - TPL","","Corner Cutting, Punching, Folding and Blanking",1,"Blanking"
"WO/260808/0248","WO/.YY.MM.DD./.####.","Draft","R215 CAC Top Tank Sub Assy","BOM-R215 CAC Top Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","Tank Assembly",2.0,"WIP-RP - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","R215 CAC Inlet and Outlet Pipe","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","R215 CAC Top Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0247","WO/.YY.MM.DD./.####.","Draft","R215 Tube Sheet For CAC 0.6*110*941","BOM-R215 Tube Sheet For CAC 0.6*110*941-001","Teksons Pvt Ltd",20.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.6*110MM","Tube Sheet Cutting",3.4,"Raw Material Stores - TPL","","Cut To Length",1,"Tube Sheet Cutting"
"WO/260808/0246","WO/.YY.MM.DD./.####.","Draft","R215 Spacer Bar for CAC 8*10*941","BOM-R215 Spacer Bar for CAC 8*10*941-001","Teksons Pvt Ltd",18.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Spacer Bar ALU-STD-0028 (8*10)","Bar Cutting",3.708,"Raw Material Stores - TPL","","Aluminium Bar Cutting",1,"Bar Cutting"
"WO/260808/0245","WO/.YY.MM.DD./.####.","Draft","Spacer Bar 9.5×15×110","BOM-Spacer Bar 9.5×15×110-001","Teksons Pvt Ltd",124.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )","Bar Cutting",5.332,"Raw Material Stores - TPL","","Aluminium Bar Cutting",1,"Bar Cutting"
"WO/260808/0244","WO/.YY.MM.DD./.####.","Draft","Internal Fin For CAC 0.2*200*90","BOM-Internal Fin For CAC 0.2*200*90-001","Teksons Pvt Ltd",36.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2×200MM","Fin Forming",1.188,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0243","WO/.YY.MM.DD./.####.","Draft","Internal Fin For CAC 0.2*140*90","BOM-Internal Fin For CAC 0.2*140*90-001","Teksons Pvt Ltd",9.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2×140","Fin Forming",0.207,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0242","WO/.YY.MM.DD./.####.","Draft","R215 External Fin For CAC 0.3*110*911","BOM-R215 External Fin For CAC 0.3*110*911-001","Teksons Pvt Ltd",4.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.3*110MM","Fin Forming",1.288,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0241","WO/.YY.MM.DD./.####.","Draft","R215 External Fin For CAC 0.2*110*911","BOM-R215 External Fin For CAC 0.2*110*911-001","Teksons Pvt Ltd",6.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2*110","Fin Forming",1.29,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0240","WO/.YY.MM.DD./.####.","Draft","R215 CAC Core End Plate 5X165X941","BOM-R215 CAC Core End Plate 5X165X941-001","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Sheet 5MM Thk","Shearing",2.12,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0239","WO/.YY.MM.DD./.####.","Draft","R215 CAC Core End Plate 5X140X941","BOM-R215 CAC Core End Plate 5X140X941-001","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","R215 CAC Core End Plate 5X165X941","Folding",1.0,"WIP-Ralu In - TPL","","Folding",1,"Folding"
"","","","","","","","","","","","","","","Sr. No. Punching",2,"Sr. No. Punching"
"WO/260808/0238","WO/.YY.MM.DD./.####.","Draft","R215 CAC Core End Plate 2.5X110X941","BOM-R215 CAC Core End Plate 2.5X110X941-001","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Sheet 2.5MM Thk Without Cladded","Shearing",0.706,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0237","WO/.YY.MM.DD./.####.","Draft","R215 CAC Core","BOM-R215 CAC Core-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 CAC Core End Plate 2.5X110X941","Core Assembly",1.0,"WIP-W - TPL","","Core Fixing",1,"Core Assembly"
"","","","","","","","","","R215 CAC Core End Plate 5X140X941","Core Assembly",1.0,"WIP-W - TPL","","Brazing Furnace",2,"Core Brazing"
"","","","","","","","","","R215 External Fin For CAC 0.2*110*911","Core Assembly",6.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 External Fin For CAC 0.3*110*911","Core Assembly",4.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Internal Fin For CAC 0.2*140*90","Core Assembly",9.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Internal Fin For CAC 0.2*200*90","Core Assembly",36.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",20.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 Spacer Bar for CAC 8*10*941","Core Assembly",18.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 Tube Sheet For CAC 0.6*110*941","Core Assembly",20.0,"WIP-Ralu In - TPL","","","",""
"WO/260808/0236","WO/.YY.MM.DD./.####.","Draft","R215 CAC","BOM-R215 CAC-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 CAC Core","Tank To Core",1.0,"WIP-Ralu In - TPL","","Mig Welding",1,"Tank To Core"
"","","","","","","","","","R215 CAC Top Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","Mig Welding",2,"Angle Assembly"
"","","","","","","","","","R215 CAC Bottom Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","Leak Test",3,"Leak Testing"
"","","","","","","","","","Stay Block 50X25X150","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Condenser Mounting Block 31X19X25","Tank To Core",2.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0235","WO/.YY.MM.DD./.####.","Draft","R215 Combi Cooler","BOM-R215 Combi Cooler-001","Teksons Pvt Ltd",1.0,"Finish Goods Stores - TPL","2026-08-08 00:00:00","R215 CAC","Assembly",1.0,"WIP-Ralu Weld - TPL","","Final Assembly",1,"Final Assembly"
"","","","","","","","","","R215 Bottom Cover Assembly","Assembly",1.0,"WIP-RA - TPL","","PDI",2,"PDI"
"","","","","","","","","","R215 Bottom Flyscreen Assembly","Assembly",1.0,"WIP-RA - TPL","","","",""
"","","","","","","","","","Bottom Foam","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","C Clamp Spacer","Assembly",12.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Cage For M8 Sq Nut 182X50X0.5","Assembly",8.0,"WIP-RP - TPL","","","",""
"","","","","","","","","","EPDM Drain Hose","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 Fan Cowl","Assembly",1.0,"WIP-RA - TPL","","","",""
"","","","","","","","","","R215 Finger Guard","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Foam for CAC","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Foam for gap B/W Cooler and F/C","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Foam for OIL Cooler","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","HEX Head Bolt M8*1.25P*25LG","Assembly",18.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","HEX Head Bolt M10*1.5P*30LG","Assembly",28.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Hose Clip","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 LH – RH Condenser MTG BKT","Assembly",1.0,"WIP-RA - TPL","","","",""
"","","","","","","","","","R215 Ms Plate-2 (144X22X1.5)","Assembly",1.0,"WIP-RP - TPL","","","",""
"","","","","","","","","","R215 Ms Plate-1(102X22X1.5)","Assembly",1.0,"WIP-RP - TPL","","","",""
"","","","","","","","","","M8 Nuts","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 OC","Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","M10 Plain Washer","Assembly",28.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","M8 Plain Washer","Assembly",26.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 RAD","Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Rivets - 4.8 X 12.5","Assembly",4.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","M10 Spring Washer","Assembly",28.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","M8 Spring Washer","Assembly",26.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 Top Cover Assembly","Assembly",1.0,"WIP-RA - TPL","","","",""
"","","","","","","","","","R215 Top Flyscreen Assembly","Assembly",1.0,"WIP-RA - TPL","","","",""
"","","","","","","","","","Wing Bolt","Assembly",8.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Pressure Cap","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Foam","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Protective Cap for CAC","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Protective cap for OC","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Protective Cap for Radiator","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Sticker (Warning)","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Sticker (Part No)","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Sticker (Serial No)","Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Nut Cover for Condenser Mounting 43*30.3*1","Assembly",2.0,"WIP-RP - TPL","","","",""
