"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0289","WO/.YY.MM.DD./.####.","Draft","R215 RAD Tube Sheet 0.6*110*1021","BOM-R215 RAD Tube Sheet 0.6*110*1021-001","Teksons Pvt Ltd",50.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.6*110MM","Tube Sheet Cutting",9.2,"Raw Material Stores - TPL","","Cut To Length",1,"Tube Sheet Cutting"
"WO/260808/0288","WO/.YY.MM.DD./.####.","Draft","R215 Fin For RAD 0.2*110*991","BOM-R215 Fin For RAD 0.2*110*991-001","Teksons Pvt Ltd",19.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2*110","Fin Forming",4.389,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0287","WO/.YY.MM.DD./.####.","Draft","R215 RAD Core End Plate2.5X110X1021","BOM-R215 RAD Core End Plate2.5X110X1021-001","Teksons Pvt Ltd",2.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","R215 OC and RAD Core End Plate2.5X110X1021","Sr. No. Punching",2.0,"WIP-W - TPL","","Sr. No. Punching",1,"Sr. No. Punching"
"WO/260808/0286","WO/.YY.MM.DD./.####.","Draft","R215 RAD Core","BOM-R215 RAD Core-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 RAD Core End Plate2.5X110X1021","Core Assembly",2.0,"WIP-RP - TPL","","Core Fixing",1,"Core Assembly"
"","","","","","","","","","Extruded Bar for OC and RAD 3*7*1021","Core Assembly",48.0,"WIP-Ralu In - TPL","","Brazing Furnace",2,"Core Brazing"
"","","","","","","","","","R215 Fin For OC 0.3*110*991","Core Assembly",6.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 Fin For RAD 0.2*110*991","Core Assembly",19.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",50.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 RAD Tube Sheet 0.6*110*1021","Core Assembly",50.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Turbulator 0.2*250*96.0","Core Assembly",12.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Turbulator 0.2*300*96.0","Core Assembly",72.0,"WIP-Ralu In - TPL","","","",""
"WO/260808/0285","WO/.YY.MM.DD./.####.","Draft","R215 RAD","BOM-R215 RAD-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 RAD Core","Tank To Core",1.0,"WIP-Ralu In - TPL","","Mig Welding",1,"Tank To Core"
"","","","","","","","","","Drain Plug","Tank To Core",1.0,"BOF Stores - TPL","","Mig Welding",2,"Angle Assembly"
"","","","","","","","","","R215 RAD Bottom Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","Leak Test",3,"Leak Testing"
"","","","","","","","","","R215 RAD Top Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","RAD Drain Bush","Tank To Core",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0284","WO/.YY.MM.DD./.####.","Draft","OC Inlet & Outlet Block 101X66X30","BOM-OC Inlet & Outlet Block 101X66X30-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","Size Cutting",0.974,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"","","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",8.0,"BOF Stores - TPL","","Helicoil & Tapping",2,"Helicoil Insert"
"WO/260808/0283","WO/.YY.MM.DD./.####.","Draft","R215 OC Top Tank","BOM-R215 OC Top Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",6.0,"BOF Stores - TPL","","Helicoil & Tapping",1,"Helicoil Insert"
"","","","","","","","","","R215 OC Top & Bottom Tank 70x113x7.5x377LG","Helicoil Insert",1.0,"WIP-CNC - TPL","","","",""
"WO/260808/0282","WO/.YY.MM.DD./.####.","Draft","R215 OC Top Tank Sub Assy","BOM-R215 OC Top Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","Tank Assembly",2.0,"WIP-RP - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","R215 OC Top Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0281","WO/.YY.MM.DD./.####.","Draft","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001","Teksons Pvt Ltd",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Plate 70*8*800MM","Blanking",0.543555556,"Raw Material Stores - TPL","","Corner Cutting, Punching, Folding and Blanking",1,"Blanking"
"WO/260808/0280","WO/.YY.MM.DD./.####.","Draft","R215 OC Top & Bottom Tank 70x113x7.5x377LG","BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","Size Cutting",6.22,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"","","","","","","","","","","","","","","Drilling, Boring and Milling",2,"Drilling & Boring"
"WO/260808/0279","WO/.YY.MM.DD./.####.","Draft","R215 OC Bottom Tank","BOM-R215 OC Bottom Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 OC Top & Bottom Tank 70x113x7.5x377LG","Helicoil Insert",1.0,"WIP-CNC - TPL","","Helicoil & Tapping",1,"Helicoil Insert"
"","","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",6.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0278","WO/.YY.MM.DD./.####.","Draft","R215 OC Bottom Tank Sub Assy","BOM-R215 OC Bottom Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 OC Bottom Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","0261Oc-Alu-2-004","Tank Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","Tank Assembly",2.0,"WIP-RP - TPL","","","",""
"WO/260808/0277","WO/.YY.MM.DD./.####.","Draft","Turbulator 0.3*300*44.5","BOM-Turbulator 0.3*300*44.5-001","Teksons Pvt Ltd",156.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.3×300MM","Turbu Forming",2.808,"Raw Material Stores - TPL","","Turbulator Forming and Cutting",1,"Turbu Forming"
"WO/260808/0276","WO/.YY.MM.DD./.####.","Draft","Turbulator 0.3*250*44.5","BOM-Turbulator 0.3*250*44.5-001","Teksons Pvt Ltd",26.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.3×250MM","Turbu Forming",0.39,"Raw Material Stores - TPL","","Turbulator Forming and Cutting",1,"Turbu Forming"
"WO/260808/0275","WO/.YY.MM.DD./.####.","Draft","R215 OC Tube Sheet 0.7*110*1021","BOM-R215 OC Tube Sheet 0.7*110*1021-001","Teksons Pvt Ltd",54.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.7*110","Tube Sheet Cutting",11.61,"Raw Material Stores - TPL","","Cut To Length",1,"Tube Sheet Cutting"
"WO/260808/0274","WO/.YY.MM.DD./.####.","Draft","R215 OC Core End Plate 5X165X1021","BOM-R215 OC Core End Plate 5X165X1021-001","Teksons Pvt Ltd",1.0,"WIP-RP - TPL","2026-08-08 00:00:00","Aluminium Sheet 5MM Thk","Shearing",2.3,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0273","WO/.YY.MM.DD./.####.","Draft","R215 OC Core End Plate 5X140X1021","BOM-R215 OC Core End Plate 5X140X1021-001","Teksons Pvt Ltd",1.0,"WIP-RP - TPL","2026-08-08 00:00:00","R215 OC Core End Plate 5X165X1021","Folding",1.0,"WIP-W - TPL","","Corner Cutting, Punching, Folding and Blanking",1,"Folding"
"","","","","","","","","","","","","","","Sr. No. Punching",2,"Sr. No. Punching"
"WO/260808/0272","WO/.YY.MM.DD./.####.","Draft","R215 Fin For OC 0.3*110*991","BOM-R215 Fin For OC 0.3*110*991-001","Teksons Pvt Ltd",33.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.3*110MM","Fin Forming",11.55,"Raw Material Stores - TPL","","Fin Forming and Cutting",1,"Fin Forming"
"WO/260808/0271","WO/.YY.MM.DD./.####.","Draft","Extruded Bar for OC and RAD 3*7*1021","BOM-Extruded Bar for OC and RAD 3*7*1021-001","Teksons Pvt Ltd",126.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Extruded Bar (ALU-STD-0043)(3*7)","Bar Cutting",7.434,"Raw Material Stores - TPL","","Aluminium Bar Cutting",1,"Bar Cutting"
"WO/260808/0270","WO/.YY.MM.DD./.####.","Draft","R215 OC and RAD Core End Plate2.5X110X1021","BOM-R215 OC and RAD Core End Plate2.5X110X1021-001","Teksons Pvt Ltd",3.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Sheet 2.5MM Thk Without Cladded","Shearing",2.301,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0269","WO/.YY.MM.DD./.####.","Draft","R215 OC Core","BOM-R215 OC Core-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 OC and RAD Core End Plate2.5X110X1021","Core Assembly",1.0,"WIP-W - TPL","","Core Fixing",1,"Core Assembly"
"","","","","","","","","","Extruded Bar for OC and RAD 3*7*1021","Core Assembly",78.0,"WIP-Ralu In - TPL","","Brazing Furnace",2,"Core Brazing"
"","","","","","","","","","R215 Fin For OC 0.3*110*991","Core Assembly",27.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 OC Core End Plate 5X140X1021","Core Assembly",1.0,"WIP-RP - TPL","","","",""
"","","","","","","","","","Spacer Bar 9.5×15×110","Core Assembly",54.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","R215 OC Tube Sheet 0.7*110*1021","Core Assembly",54.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Turbulator 0.3*250*44.5","Core Assembly",26.0,"WIP-Ralu In - TPL","","","",""
"","","","","","","","","","Turbulator 0.3*300*44.5","Core Assembly",156.0,"WIP-Ralu In - TPL","","","",""
